H0_samples,flat_z_H0_samples,250kms_uncert_H0_samples
7.261757453801753570e+01,1.006786831278481174e+02,7.415011376176244084e+01
6.249866117674493893e+01,7.027512524377959835e+01,1.006800046463279585e+02
1.124207306451260280e+02,6.503785560478758043e+01,1.007384937027337202e+02
6.350692610744255262e+01,7.073538245980272166e+01,6.897433628843712938e+01
5.912273421000249840e+01,8.516689591624948719e+01,9.131902764299479713e+01
7.832001073431483462e+01,8.492470031450898205e+01,6.627969719220352829e+01
6.651714364574949911e+01,8.458213713047238969e+01,7.062805954331768987e+01
6.565252565935499263e+01,6.713009676388119829e+01,1.067258697345343705e+02
6.636654849062828987e+01,6.235142863889813469e+01,8.284478583503489801e+01
5.655015768730144998e+01,6.665180369562206408e+01,8.555894904459523786e+01
8.981884743902402590e+01,6.623729009567102821e+01,7.261674249437757567e+01
6.328491591859282295e+01,8.014876362419647648e+01,8.028945421132056026e+01
6.987006948198143164e+01,8.083824327429977075e+01,7.233118510880063923e+01
5.839192238226852538e+01,8.083824327429977075e+01,7.252077032380438482e+01
7.739079516424774852e+01,7.201554961252131193e+01,7.498040226457844426e+01
9.152789469313049153e+01,7.618604191688194760e+01,1.052237856632814044e+02
6.148889541635210065e+01,5.603163691566177818e+01,5.931920696350663746e+01
7.089030500335294960e+01,8.185532009793369923e+01,6.988581883895578528e+01
6.304200408036786740e+01,8.188001202210598706e+01,6.679034051169313102e+01
7.881895025713507152e+01,8.130222769574362474e+01,6.318006851306579819e+01
6.695050037268512710e+01,6.012905418459952500e+01,9.474507274277115698e+01
7.840370516487183750e+01,8.460391670778865603e+01,7.563441041925598540e+01
1.029791276289265340e+02,9.543758843025403849e+01,7.175354498308053053e+01
8.245851645882315495e+01,1.055245738371964137e+02,8.197356740177235679e+01
1.184881238934165850e+02,8.158409701802533220e+01,6.559052000587081466e+01
6.672173789104404307e+01,7.498501089852389612e+01,6.958091447159546306e+01
6.926006828013211702e+01,7.033890314589211812e+01,6.572153406339838000e+01
7.663527118840936225e+01,6.453172605494393110e+01,7.413060476513022934e+01
6.678280364507207878e+01,6.116310603847190919e+01,6.215116811145168896e+01
9.359061646035712556e+01,7.035637209060026009e+01,7.986182392046089262e+01
7.635752567440975724e+01,6.758102754924490796e+01,6.478483383732282164e+01
1.054543624592386806e+02,6.978902159064159605e+01,8.310349344720854958e+01
7.036918357505919630e+01,7.241321242110163325e+01,1.086112188919451000e+02
6.837969221234860129e+01,6.327729220388805231e+01,6.888444483018196252e+01
8.278886045710933672e+01,9.509460242130236907e+01,7.288923368711797934e+01
8.464505556462647462e+01,8.160076270937859988e+01,6.203021166277690668e+01
6.848934822460134342e+01,6.392348122556187207e+01,8.080894662976609766e+01
1.057443656202787707e+02,6.194233634482259276e+01,7.756454318246854029e+01
7.254156081246712517e+01,8.776950787500334172e+01,6.870163383524381118e+01
1.088115209079996930e+02,8.733381329757116873e+01,7.010546762476106153e+01
7.247927448417999585e+01,7.698665815547705904e+01,6.679459611196666913e+01
8.772247454185990989e+01,8.001548436490205063e+01,9.049760776716929911e+01
7.357237542897210858e+01,7.763958086743697606e+01,9.717624005795687481e+01
7.059734556615089218e+01,1.172165469171774248e+02,8.570572982471500723e+01
6.946948008043828793e+01,1.066116941647990899e+02,6.751755721211958416e+01
7.308858827937928027e+01,1.054005722595442478e+02,6.910226912532957044e+01
6.824422506318501291e+01,1.139554799681633170e+02,7.276428765325192671e+01
7.341119129141604560e+01,1.115578360935054718e+02,9.216351965334197871e+01
8.257045739428377829e+01,7.696361401770664656e+01,6.779090637499116667e+01
6.412098283468951365e+01,6.890016679962671731e+01,7.025260282484826746e+01
6.039619825359383043e+01,1.043343884185627104e+02,7.657476824933205251e+01
6.270354357679865132e+01,1.151528253576772727e+02,7.008441883830901986e+01
6.501983130024274260e+01,1.104169593724314353e+02,7.597808805344095617e+01
6.549755879479509701e+01,1.117642410079919273e+02,6.953189041834012585e+01
7.567841319660554689e+01,1.080052153035008757e+02,1.139489138251140474e+02
7.468277660947158836e+01,1.103664010990781463e+02,6.809445864616711219e+01
8.550461140393574055e+01,1.103664010990781463e+02,6.494619376523706933e+01
8.148691542842834679e+01,1.076283298765870171e+02,6.825416595342868220e+01
6.735599230050205222e+01,1.103650597885968523e+02,7.208724773233112160e+01
7.422428707758655264e+01,1.061370551852751589e+02,6.666282053327142876e+01
7.243682832423957052e+01,1.109567517874349676e+02,7.344802728866810071e+01
7.240925085846036779e+01,7.696740518991440183e+01,7.999983160414937799e+01
6.867498353981588366e+01,8.189269111496754761e+01,7.772419431134045453e+01
9.269106670508664081e+01,7.573305184309543847e+01,7.295023485380379213e+01
5.313740032871125862e+01,8.612040370881683771e+01,6.488281147238636493e+01
9.439350522742076066e+01,5.997712649317507072e+01,1.137462035975131300e+02
7.394105614009190219e+01,6.955476904116058279e+01,7.113007444200512452e+01
7.277091741582604811e+01,8.548332645507180416e+01,7.288408075959787880e+01
7.138550105371487575e+01,6.418320388413407329e+01,7.418946875197852364e+01
7.363651674319547169e+01,7.157291836401188334e+01,1.503891154750760961e+02
5.984985986914157507e+01,7.657155138488572277e+01,7.255045819279489194e+01
6.852806552553397523e+01,6.967899011871850234e+01,7.847938244695031074e+01
7.722427129590158756e+01,7.079316882455803750e+01,8.269757643944039671e+01
